price,bedrooms,area
$3500,3br, san jose
$4150,3br, santa clara
$4500,3br, mountain view
$3400,3br, willow glen  cambrian
$2650,3br, san jose south
$2850,3br, milpitas
$3650,3br, sunnyvale
$2595,3br, campbell
$2595,3br, san jose west
$3100,3br, san jose
$2995,3br, mountain view
$4200,3br, sunnyvale
$3250,3br, san jose south
$3490,3br, san jose east
$3490,3br, san jose east
$3300,3br, san jose north
